face,trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fix_rand.started,fix_rand.stopped,Stimulus.started,participant,session,date,expName,psychopyVersion,frameRate,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/61.jpg,1,0,0,0,10,12.249078041997564,13.399938624999777,13.399938624999777,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/77.jpg,1,0,1,1,26,13.612784000000829,14.699813333998463,14.699813333998463,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/28.jpg,2,0,2,2,67,14.929524208997464,16.141339208999852,16.141339208999852,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/4.jpg,2,0,3,3,43,16.29357304199948,17.464369208999415,17.464369208999415,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/85.jpg,1,0,4,4,34,17.654423791998852,18.76993333399878,18.76993333399878,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/76.jpg,1,0,5,5,25,19.01362537499881,20.158741249997547,20.158741249997547,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/89.jpg,1,0,6,6,38,20.404370249998465,21.51014320899776,21.51014320899776,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/37.jpg,2,0,7,7,76,21.754265166997357,22.940623209000478,22.940623209000478,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/67.jpg,1,0,8,8,16,23.122921583999414,24.286321749998024,24.286321749998024,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/78.jpg,1,0,9,9,27,24.52094345899968,25.593100374997448,25.593100374997448,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/10.jpg,2,0,10,10,49,25.838260666998394,26.945184624997637,26.945184624997637,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/16.jpg,2,0,11,11,55,27.154257916998176,28.224267875000805,28.224267875000805,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/40.jpg,2,0,12,12,79,28.420956624999235,29.561878124997747,29.561878124997747,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/63.jpg,1,0,13,13,12,29.771327458998712,30.82069954200051,30.82069954200051,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/57.jpg,1,0,14,14,6,31.063697292000143,32.16673170899958,32.16673170899958,371052,001,2023-03-18_10h48.08.158,N170,2022.2.4,None,
