face,trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fix_rand.started,fix_rand.stopped,Stimulus.started,Stimulus.stopped,participant,session,date,expName,psychopyVersion,frameRate,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/18.jpg,2,0,0,0,57,10.793948750000709,11.935122499999125,11.935122499999125,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/38.jpg,2,0,1,1,77,12.069159416998446,13.25977120799871,13.25977120799871,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/62.jpg,1,0,2,2,11,13.452468791998399,14.497856499998306,14.497856499998306,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/10.jpg,2,0,3,3,49,14.728020457998355,16.052987167000538,16.052987167000538,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/83.jpg,1,0,4,4,32,16.242141082999296,17.369523249999475,17.369523249999475,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/28.jpg,2,0,5,5,67,17.602469999997993,18.838774249998096,18.838774249998096,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/85.jpg,1,0,6,6,34,19.019205083000998,20.181265167000674,20.181265167000674,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/57.jpg,1,0,7,7,6,20.419100291997893,21.496823458001018,21.496823458001018,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/5.jpg,2,0,8,8,44,21.735840332999942,22.966887167000095,22.966887167000095,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/12.jpg,2,0,9,9,51,23.15990495799997,24.24106395799754,24.24106395799754,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/16.jpg,2,0,10,10,55,24.443347874999745,25.536152332999336,25.536152332999336,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/4.jpg,2,0,11,11,43,25.742861291997542,26.812010166999244,26.812010166999244,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/78.jpg,1,0,12,12,27,27.019235957999626,28.080335916998592,28.080335916998592,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/27.jpg,2,0,13,13,66,28.319390749999002,29.475832832999004,29.475832832999004,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/75.jpg,1,0,14,14,24,29.65256183299789,30.737930916999176,30.737930916999176,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/36.jpg,2,0,15,15,75,30.977187832999334,32.07254566700067,32.07254566700067,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/29.jpg,2,0,16,16,68,32.258912166998925,33.337276250000286,33.337276250000286,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/14.jpg,2,0,17,17,53,33.536382667,34.603226667000854,34.603226667000854,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/87.jpg,1,0,18,18,36,34.8102004579996,36.01167254199754,36.01167254199754,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/90.jpg,1,0,19,19,39,36.26100362500074,37.47052133299803,37.47052133299803,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/58.jpg,1,0,20,20,7,37.719519582999055,38.77413908299786,38.77413908299786,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/60.jpg,1,0,21,21,9,39.01943716700043,40.06517999999778,40.06517999999778,40.30882204199952,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/84.jpg,1,0,22,22,33,40.30882204199952,41.35137529200074,41.35137529200074,41.59392904199922,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/30.jpg,2,0,23,23,69,41.59392904199922,42.83804520799822,42.83804520799822,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/37.jpg,2,0,24,24,76,43.04088283300007,44.11501629199847,44.11501629199847,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/63.jpg,1,0,25,25,12,44.32601654199971,45.393171957999584,45.393171957999584,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/24.jpg,2,0,26,26,63,45.64341137500014,46.76652987499983,46.76652987499983,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/70.jpg,1,0,27,27,19,46.96986495799865,48.14166316699993,48.14166316699993,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/69.jpg,1,0,28,28,18,48.3935610419976,49.54458254199926,49.54458254199926,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/54.jpg,1,0,29,29,3,49.79222304200084,50.848654458000965,50.848654458000965,51.093728083000315,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/73.jpg,1,0,30,30,22,51.093728083000315,52.1509597080003,52.1509597080003,52.39433216699763,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/White Men/21.jpg,2,0,31,31,60,52.39433216699763,53.54310791699754,53.54310791699754,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
/Users/jantzek/Documents/Easy_BCI/PsychoPy Examples/N170/Stim/cars/56.jpg,1,0,32,32,5,53.736020542000915,54.87808849999783,54.87808849999783,,526141,001,2023-03-18_10h55.11.747,N170,2022.2.4,None,
