trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,fixation.started,image.stopped,fixation.stopped,image_2.started,fixation_2.started,image_2.stopped,fixation_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10.513573958000052,10.513573958000052,11.007262415994774,11.007262415994774,11.007262415994774,11.007262415994774,11.509764957998414,11.509764957998414,373732,001,2023-03-19_07h36.57.288,veo,2022.2.4,None,
1,0,1,0,11.509764957998414,11.509764957998414,12.007423582996125,12.007423582996125,12.007423582996125,12.007423582996125,12.508787665996351,12.508787665996351,373732,001,2023-03-19_07h36.57.288,veo,2022.2.4,None,
2,0,2,0,12.508787665996351,12.508787665996351,13.007611374996486,13.007611374996486,13.007611374996486,13.007611374996486,13.509284125000704,13.509284125000704,373732,001,2023-03-19_07h36.57.288,veo,2022.2.4,None,
3,0,3,0,13.509284125000704,13.509284125000704,14.006484958001238,14.006484958001238,14.006484958001238,14.006484958001238,14.508654707999085,14.508654707999085,373732,001,2023-03-19_07h36.57.288,veo,2022.2.4,None,
4,0,4,0,14.508654707999085,14.508654707999085,15.007899374999397,15.007899374999397,15.007899374999397,15.007899374999397,15.50888445799501,15.50888445799501,373732,001,2023-03-19_07h36.57.288,veo,2022.2.4,None,
5,0,5,0,15.50888445799501,15.50888445799501,16.006473165994976,16.006473165994976,16.006473165994976,16.006473165994976,16.49965045799763,16.49965045799763,373732,001,2023-03-19_07h36.57.288,veo,2022.2.4,None,
6,0,6,0,16.49965045799763,16.49965045799763,16.989944749999268,16.989944749999268,16.989944749999268,16.989944749999268,17.49193783300143,17.49193783300143,373732,001,2023-03-19_07h36.57.288,veo,2022.2.4,None,
7,0,7,0,17.49193783300143,17.49193783300143,17.99030704100005,17.99030704100005,17.99030704100005,17.99030704100005,18.48343875000137,18.48343875000137,373732,001,2023-03-19_07h36.57.288,veo,2022.2.4,None,
8,0,8,0,18.48343875000137,18.48343875000137,18.973382374999346,18.973382374999346,18.973382374999346,18.973382374999346,19.465689457996632,19.465689457996632,373732,001,2023-03-19_07h36.57.288,veo,2022.2.4,None,
9,0,9,0,19.465689457996632,19.465689457996632,19.9575819160018,19.9575819160018,19.9575819160018,19.9575819160018,20.458876958000474,20.458876958000474,373732,001,2023-03-19_07h36.57.288,veo,2022.2.4,None,
,,,,20.458876958000474,20.458876958000474,20.957090582996898,20.957090582996898,20.957090582996898,20.957090582996898,,,,,,,,,
