trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,first_image.started,first_image.stopped,secondimage.started,secondimage.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10.433689166995464,10.928657083000871,10.928657083000871,11.419352457996865,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
1,0,1,0,11.419352457996865,11.912744332999864,11.912744332999864,12.40512283299904,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
2,0,2,0,12.40512283299904,12.904280333001225,12.904280333001225,13.396130708002602,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
3,0,3,0,13.396130708002602,13.887492499998189,13.887492499998189,14.379398083001433,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
4,0,4,0,14.379398083001433,14.870870749997266,14.870870749997266,15.371174416999565,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
5,0,5,0,15.371174416999565,15.874855292000575,15.874855292000575,16.36970250000013,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
6,0,6,0,16.36970250000013,16.862981541999034,16.862981541999034,17.354076124996936,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
7,0,7,0,17.354076124996936,17.855222083002445,17.855222083002445,18.354724999997416,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
8,0,8,0,18.354724999997416,18.854739000002155,18.854739000002155,19.354938917000254,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
9,0,9,0,19.354938917000254,19.854091374996642,19.854091374996642,20.34620412500226,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
10,0,10,0,20.34620412500226,20.836947124997096,20.836947124997096,21.329025332997844,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
11,0,11,0,21.329025332997844,21.820481333001226,21.820481333001226,22.31315879199974,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
12,0,12,0,22.31315879199974,22.805019667001034,22.805019667001034,23.304788916997495,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
13,0,13,0,23.304788916997495,23.80423058300221,23.80423058300221,24.296178124997823,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
14,0,14,0,24.296178124997823,24.787537457996223,24.787537457996223,25.28844037499948,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
15,0,15,0,25.28844037499948,25.78759162499773,25.78759162499773,26.279602124996018,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
16,0,16,0,26.279602124996018,26.770978874999855,26.770978874999855,27.27108962499915,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
17,0,17,0,27.27108962499915,27.76307020799868,27.76307020799868,28.25296037500084,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
18,0,18,0,28.25296037500084,28.74644024999725,28.74644024999725,29.23785958300141,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
19,0,19,0,29.23785958300141,29.729742707997502,29.729742707997502,30.221534791999147,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
20,0,20,0,30.221534791999147,30.720720707999135,30.720720707999135,31.221786207999685,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
21,0,21,0,31.221786207999685,31.718972333001147,31.718972333001147,32.21298825000122,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
22,0,22,0,32.21298825000122,32.70378412499849,32.70378412499849,33.202417417000106,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
23,0,23,0,33.202417417000106,33.69575054199959,33.69575054199959,34.18610262499715,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
24,0,24,0,34.18610262499715,34.67973862499639,34.67973862499639,35.1685969579994,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
25,0,25,0,35.1685969579994,35.6631288330027,35.6631288330027,36.15245516700088,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
26,0,26,0,36.15245516700088,36.64642987499974,36.64642987499974,37.13776562499697,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
27,0,27,0,37.13776562499697,37.629799666996405,37.629799666996405,38.11957166699722,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
28,0,28,0,38.11957166699722,38.611797375000606,38.611797375000606,39.10423983299552,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
29,0,29,0,39.10423983299552,39.59629170799599,39.59629170799599,40.08855916700122,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
30,0,30,0,40.08855916700122,40.58778787499614,40.58778787499614,41.079692749997776,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
31,0,31,0,41.079692749997776,41.57058458300162,41.57058458300162,42.06296004199976,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
32,0,32,0,42.06296004199976,42.55450816699886,42.55450816699886,43.04631579200213,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
33,0,33,0,43.04631579200213,43.53748154200002,43.53748154200002,44.02896725000028,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
34,0,34,0,44.02896725000028,44.520577875002346,44.520577875002346,45.01379412499955,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
35,0,35,0,45.01379412499955,45.504417750002176,45.504417750002176,45.996383999998216,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
36,0,36,0,45.996383999998216,46.48776433299645,46.48776433299645,46.97976062499947,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
37,0,37,0,46.97976062499947,47.47110275000159,47.47110275000159,47.9630871249974,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
38,0,38,0,47.9630871249974,48.453927541995654,48.453927541995654,48.946364541996445,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
39,0,39,0,48.946364541996445,49.4374759170023,49.4374759170023,49.93791520800005,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
40,0,40,0,49.93791520800005,50.42989658300212,50.42989658300212,50.93228295799781,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
41,0,41,0,50.93228295799781,51.42969849999645,51.42969849999645,51.92187945800106,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
42,0,42,0,51.92187945800106,52.42094920799718,52.42094920799718,52.913121042001876,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
43,0,43,0,52.913121042001876,53.404552166997746,53.404552166997746,53.895702583002276,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
44,0,44,0,53.895702583002276,54.38757495799655,54.38757495799655,54.87975862500025,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
45,0,45,0,54.87975862500025,55.370559666996996,55.370559666996996,55.86279966699658,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
46,0,46,0,55.86279966699658,56.35629095799959,56.35629095799959,56.85458129199833,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
47,0,47,0,56.85458129199833,57.34661145800055,57.34661145800055,57.83944008300023,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
48,0,48,0,57.83944008300023,58.337967250001384,58.337967250001384,58.82975829199859,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
49,0,49,0,58.82975829199859,59.320786666998174,59.320786666998174,59.81235824999749,381232,001,2023-03-19_07h52.16.967,veo,2022.2.4,None,
