color,trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus.started,blank.started,blank.stopped,stimulus.stopped,participant,session,date,expName,psychopyVersion,frameRate,
white,1,0,0,0,3,15.37920862500323,15.620463500003098,16.61288924998371,,032306,001,2023-02-26_09h33.50.018,simple VEP,2022.2.4,59.984913909722266,
white,1,0,1,1,0,16.61288924998371,16.86046716698911,17.85332920899964,16.86046716698911,032306,001,2023-02-26_09h33.50.018,simple VEP,2022.2.4,59.984913909722266,
gray,2,0,2,2,7,17.85332920899964,18.103723624983104,19.09516470899689,18.093883124995045,032306,001,2023-02-26_09h33.50.018,simple VEP,2022.2.4,59.984913909722266,
white,1,0,3,3,1,19.103449374990305,19.353961166983936,20.34558312498848,19.343181709002238,032306,001,2023-02-26_09h33.50.018,simple VEP,2022.2.4,59.984913909722266,
gray,2,0,4,4,5,20.35340387499309,20.60385154199321,21.595125708990963,20.593899041996337,032306,001,2023-02-26_09h33.50.018,simple VEP,2022.2.4,59.984913909722266,
gray,2,0,5,5,6,21.60341799998423,21.853996249992633,22.844555833988125,21.842972334008664,032306,001,2023-02-26_09h33.50.018,simple VEP,2022.2.4,59.984913909722266,
gray,2,0,6,6,4,22.853998250007862,23.103958374995273,24.094998499989742,23.09299325000029,032306,001,2023-02-26_09h33.50.018,simple VEP,2022.2.4,59.984913909722266,
white,1,0,7,7,2,24.104109959007474,24.353981624997687,25.345572374993935,24.343769041995984,032306,001,2023-02-26_09h33.50.018,simple VEP,2022.2.4,59.984913909722266,
gray,2,1,0,8,6,25.353376749990275,25.60405237498344,26.595338334009284,25.592969541990897,032306,001,2023-02-26_09h33.50.018,simple VEP,2022.2.4,59.984913909722266,
gray,2,1,1,9,4,26.603415708988905,26.859497291996377,27.853536667011213,26.853976249985863,032306,001,2023-02-26_09h33.50.018,simple VEP,2022.2.4,59.984913909722266,
white,1,1,2,10,3,27.853536667011213,28.103818208997836,29.094676250009798,28.093897459009895,032306,001,2023-02-26_09h33.50.018,simple VEP,2022.2.4,59.984913909722266,
,,,,,,29.10379983400344,29.354230208991794,,29.343583334004506,,,,,,,
