trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,grating1.started,grating1.stopped,grating1_2.started,grating1_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,8.911468250007601,9.41000425000675,9.41000425000675,9.908805291022873,054537,001,2023-02-26_10h18.09.218,simple VEP,2022.2.4,None,
1,0,1,0,9.908805291022873,10.399898166011553,10.399898166011553,10.892735000001267,054537,001,2023-02-26_10h18.09.218,simple VEP,2022.2.4,None,
2,0,2,0,10.892735000001267,11.391932625003392,11.391932625003392,11.882754250022117,054537,001,2023-02-26_10h18.09.218,simple VEP,2022.2.4,None,
3,0,3,0,11.891541333025089,12.382311332999961,12.391599624999799,12.882243750005728,054537,001,2023-02-26_10h18.09.218,simple VEP,2022.2.4,None,
4,0,4,0,12.891540875018109,13.382042583019938,13.391704166017007,13.88279791601235,054537,001,2023-02-26_10h18.09.218,simple VEP,2022.2.4,None,
5,0,5,0,13.89152354100952,14.382203041022876,14.391559541021707,14.882340333017055,054537,001,2023-02-26_10h18.09.218,simple VEP,2022.2.4,None,
6,0,6,0,14.891468250018079,15.382047708000755,15.391524333012057,15.88221650000196,054537,001,2023-02-26_10h18.09.218,simple VEP,2022.2.4,None,
7,0,7,0,15.891530833003344,16.381121208018158,16.39938670801348,16.893197708006483,054537,001,2023-02-26_10h18.09.218,simple VEP,2022.2.4,None,
8,0,8,0,16.893197708006483,17.392360333004035,17.392360333004035,17.88265129100182,054537,001,2023-02-26_10h18.09.218,simple VEP,2022.2.4,None,
9,0,9,0,17.891558041010285,18.3817486250191,18.401100791001227,18.900637750019087,054537,001,2023-02-26_10h18.09.218,simple VEP,2022.2.4,None,
10,0,10,0,18.900637750019087,19.399434749997454,19.399434749997454,19.892416333022993,054537,001,2023-02-26_10h18.09.218,simple VEP,2022.2.4,None,
11,0,11,0,19.892416333022993,20.381732875015587,20.399230291019194,20.892881750012748,054537,001,2023-02-26_10h18.09.218,simple VEP,2022.2.4,None,
12,0,12,0,20.892881750012748,21.391646333009703,21.391646333009703,21.8825160000124,054537,001,2023-02-26_10h18.09.218,simple VEP,2022.2.4,None,
13,0,13,0,21.891564500023378,22.382334333000472,22.39164579100907,22.88277370799915,054537,001,2023-02-26_10h18.09.218,simple VEP,2022.2.4,None,
14,0,14,0,22.891594000015175,23.38174479099689,23.39930012502009,23.900612791010644,054537,001,2023-02-26_10h18.09.218,simple VEP,2022.2.4,None,
15,0,15,0,23.900612791010644,24.399610125023173,24.399610125023173,24.892133625020506,054537,001,2023-02-26_10h18.09.218,simple VEP,2022.2.4,None,
16,0,16,0,24.892133625020506,25.381690000009257,25.399433125014184,25.892509208002593,054537,001,2023-02-26_10h18.09.218,simple VEP,2022.2.4,None,
17,0,17,0,25.892509208002593,26.38167041601264,26.399344083009055,26.891855000023497,054537,001,2023-02-26_10h18.09.218,simple VEP,2022.2.4,None,
18,0,18,0,26.891855000023497,27.382369041006314,27.391753208008595,27.882616250019055,054537,001,2023-02-26_10h18.09.218,simple VEP,2022.2.4,None,
19,0,19,0,27.891642958013108,28.382633333007107,28.391724208020605,28.883452375011984,054537,001,2023-02-26_10h18.09.218,simple VEP,2022.2.4,None,
20,0,20,0,28.892171083018184,29.382787500013364,29.391684833011823,29.88375300000189,054537,001,2023-02-26_10h18.09.218,simple VEP,2022.2.4,None,
21,0,21,0,29.892310082999757,30.38205008301884,30.39162620800198,30.883546166005544,054537,001,2023-02-26_10h18.09.218,simple VEP,2022.2.4,None,
22,0,22,0,30.89179737502127,31.38178825000068,31.399889666005038,31.892279416002566,054537,001,2023-02-26_10h18.09.218,simple VEP,2022.2.4,None,
23,0,23,0,31.892279416002566,32.38230054100859,32.39171933301259,32.88377104100073,054537,001,2023-02-26_10h18.09.218,simple VEP,2022.2.4,None,
,,,,32.89284558300278,33.391793375019915,33.391793375019915,,,,,,,,
