trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,grating1.started,fixation.started,grating1_2.started,fixation_2.started,grating1.stopped,fixation.stopped,grating1_2.stopped,fixation_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,8.428428041981533,8.428428041981533,8.926711041975068,8.926711041975068,,,,,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
1,0,1,0,9.423854666994885,9.423854666994885,9.9154634999868,9.9154634999868,9.9154634999868,9.9154634999868,10.414502416999312,10.414502416999312,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
2,0,2,0,10.414502416999312,10.414502416999312,10.908595666987821,10.908595666987821,10.908595666987821,10.908595666987821,11.405469833000097,11.405469833000097,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
3,0,3,0,11.405469833000097,11.405469833000097,11.90655837499071,11.90655837499071,11.897412082995288,11.897412082995288,12.398758166993503,12.398758166993503,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
4,0,4,0,12.40655337498174,12.40655337498174,12.90621612497489,12.90621612497489,12.897504416992888,12.897504416992888,13.397667791985441,13.397667791985441,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
5,0,5,0,13.404850916995201,13.404850916995201,13.906314416992245,13.906314416992245,13.89796987498994,13.89796987498994,14.397701832989696,14.397701832989696,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
6,0,6,0,14.406032416998642,14.406032416998642,14.906866541976342,14.906866541976342,14.89751612499822,14.89751612499822,15.397279416996753,15.397279416996753,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
7,0,7,0,15.405245832982473,15.405245832982473,15.906264833000023,15.906264833000023,15.897582207981031,15.897582207981031,16.41410608298611,16.41410608298611,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
8,0,8,0,16.431345707998844,16.431345707998844,16.923164499981795,16.923164499981795,,,17.416516541998135,17.416516541998135,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
9,0,9,0,17.416516541998135,17.416516541998135,17.91695862499182,17.91695862499182,17.91695862499182,17.91695862499182,18.415376207994996,18.415376207994996,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
10,0,10,0,18.415376207994996,18.415376207994996,18.907073499984108,18.907073499984108,18.907073499984108,18.907073499984108,19.398758291994454,19.398758291994454,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
11,0,11,0,19.40704774999176,19.40704774999176,19.907105166988913,19.907105166988913,19.897787832975155,19.897787832975155,20.398547499993583,20.398547499993583,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
12,0,12,0,20.40571366698714,20.40571366698714,20.90699954199954,20.90699954199954,20.897899082978256,20.897899082978256,21.408359957975335,21.408359957975335,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
13,0,13,0,21.408359957975335,21.408359957975335,21.90706233298988,21.90706233298988,21.90706233298988,21.90706233298988,22.397652582993032,22.397652582993032,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
14,0,14,0,22.406596791988704,22.406596791988704,22.905929332977394,22.905929332977394,22.897361457988154,22.897361457988154,23.39669754198985,23.39669754198985,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
15,0,15,0,23.414385666983435,23.414385666983435,23.90706099997624,23.90706099997624,23.90706099997624,23.90706099997624,24.397519624995766,24.397519624995766,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
16,0,16,0,24.405705124983797,24.405705124983797,24.90710024998407,24.90710024998407,24.897553457994945,24.897553457994945,25.397380666981917,25.397380666981917,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
17,0,17,0,25.40612049997435,25.40612049997435,25.906155499978922,25.906155499978922,25.89761995797744,25.89761995797744,26.397344707977027,26.397344707977027,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
18,0,18,0,26.405959541996708,26.405959541996708,26.907115499983774,26.907115499983774,26.89770387497265,26.89770387497265,27.39757033297792,27.39757033297792,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
19,0,19,0,27.406107082992094,27.406107082992094,27.904614166996907,27.904614166996907,27.897517082979903,27.897517082979903,28.397888707986567,28.397888707986567,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
20,0,20,0,28.406813749985304,28.406813749985304,28.906641374982428,28.906641374982428,28.897697374981362,28.897697374981362,29.41452424999443,29.41452424999443,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
21,0,21,0,29.41452424999443,29.41452424999443,29.907996166992234,29.907996166992234,29.907996166992234,29.907996166992234,30.39778520798427,30.39778520798427,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
22,0,22,0,30.404818082985003,30.404818082985003,30.905593707982916,30.905593707982916,30.89759712497471,30.89759712497471,31.397906666999916,31.397906666999916,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
23,0,23,0,31.406888874975266,31.406888874975266,31.90712566699949,31.90712566699949,31.90712566699949,31.90712566699949,32.40628262498649,32.40628262498649,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
24,0,24,0,32.40628262498649,32.40628262498649,32.9048550829757,32.9048550829757,32.89744774997234,32.89744774997234,33.398181374999695,33.398181374999695,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
25,0,25,0,33.40689654200105,33.40689654200105,33.9073806249944,33.9073806249944,33.897737666993635,33.897737666993635,34.40691858300124,34.40691858300124,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
26,0,26,0,34.40691858300124,34.40691858300124,34.90718054198078,34.90718054198078,34.89783570799045,34.89783570799045,35.40762558300048,35.40762558300048,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
27,0,27,0,35.40762558300048,35.40762558300048,35.90685441700043,35.90685441700043,35.89761379198171,35.89761379198171,36.39753729198128,36.39753729198128,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
28,0,28,0,36.40609416697407,36.40609416697407,36.90711545798695,36.90711545798695,36.897742874978576,36.897742874978576,37.39818570797797,37.39818570797797,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
29,0,29,0,37.40669624999282,37.40669624999282,37.9067968329764,37.9067968329764,37.89790312497644,37.89790312497644,38.39790774998255,38.39790774998255,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
30,0,30,0,38.406621874979464,38.406621874979464,38.90721741699963,38.90721741699963,38.897772957978304,38.897772957978304,39.40606549999211,39.40606549999211,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
31,0,31,0,39.40606549999211,39.40606549999211,39.93141733299126,39.93141733299126,39.9141272919951,39.9141272919951,,,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
32,0,32,0,40.4240895419789,40.4240895419789,40.931413332989905,40.931413332989905,40.931413332989905,40.931413332989905,,,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
33,0,33,0,41.42465533298673,41.42465533298673,41.93120224997983,41.93120224997983,41.93120224997983,41.93120224997983,,,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
34,0,34,0,42.42425791698042,42.42425791698042,42.91457562497817,42.91457562497817,42.91457562497817,42.91457562497817,43.40520337497583,43.40520337497583,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
35,0,35,0,43.40520337497583,43.40520337497583,43.90664229198592,43.90664229198592,43.897682916984195,43.897682916984195,44.397026166989235,44.397026166989235,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
36,0,36,0,44.40546841698233,44.40546841698233,44.91464179198374,44.91464179198374,44.91464179198374,44.91464179198374,45.4077286249958,45.4077286249958,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
37,0,37,0,45.4077286249958,45.4077286249958,45.905828457995085,45.905828457995085,45.898663666972425,45.898663666972425,46.408921832975466,46.408921832975466,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
38,0,38,0,46.408921832975466,46.408921832975466,46.90667204197962,46.90667204197962,46.90667204197962,46.90667204197962,47.398123332997784,47.398123332997784,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
39,0,39,0,47.405843791988445,47.405843791988445,47.907930749992374,47.907930749992374,47.907930749992374,47.907930749992374,48.40741358298692,48.40741358298692,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
40,0,40,0,48.40741358298692,48.40741358298692,48.90634924999904,48.90634924999904,48.897703541995725,48.897703541995725,49.39774254197255,49.39774254197255,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
41,0,41,0,49.40638358297292,49.40638358297292,49.90634424999007,49.90634424999007,49.89780504198279,49.89780504198279,50.397754332982004,50.397754332982004,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
42,0,42,0,50.40682645799825,50.40682645799825,50.90507612499641,50.90507612499641,50.8978722920001,50.8978722920001,51.39779270798317,51.39779270798317,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
43,0,43,0,51.4068485829921,51.4068485829921,51.906759916979354,51.906759916979354,51.897689374978654,51.897689374978654,52.39760395800113,52.39760395800113,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
44,0,44,0,52.406857374997344,52.406857374997344,52.906276207999326,52.906276207999326,52.89778849997674,52.89778849997674,53.397438582993345,53.397438582993345,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
45,0,45,0,53.40438854199601,53.40438854199601,53.90726112498669,53.90726112498669,53.89796783297788,53.89796783297788,54.397671957995044,54.397671957995044,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
46,0,46,0,54.40660029198625,54.40660029198625,54.90661412497866,54.90661412497866,54.89776924997568,54.89776924997568,55.39897979199304,55.39897979199304,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
47,0,47,0,55.40824525000062,55.40824525000062,55.90778275000048,55.90778275000048,55.90778275000048,55.90778275000048,56.39809133298695,56.39809133298695,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
48,0,48,0,56.40587362498627,56.40587362498627,56.90827295798226,56.90827295798226,56.90827295798226,56.90827295798226,57.398934791999636,57.398934791999636,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
49,0,49,0,57.40594145798241,57.40594145798241,57.90666299997247,57.90666299997247,57.89760924997972,57.89760924997972,58.3980338749825,58.3980338749825,383635,001,2023-02-26_10h24.04.523,simple VEP,2022.2.4,None,
