trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,grating1.started,fixation.started,grating1_2.started,fixation_2.started,grating1_2.stopped,fixation_2.stopped,grating1.stopped,fixation.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10.51565174999996,10.51565174999996,11.01338245801162,11.01338245801162,,,,,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
1,0,1,0,11.516864833014552,11.516864833014552,12.016849917010404,12.016849917010404,,,,,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
2,0,2,0,12.514689375006128,12.514689375006128,13.02075500000501,13.02075500000501,,,,,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
3,0,3,0,13.514470541995252,13.514470541995252,14.014277208014391,14.014277208014391,14.506247292010812,14.506247292010812,,,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
4,0,4,0,14.506247292010812,14.506247292010812,15.00496704201214,15.00496704201214,15.497366916999454,15.497366916999454,15.00496704201214,15.00496704201214,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
5,0,5,0,15.497366916999454,15.497366916999454,15.997181957995053,15.997181957995053,16.48840212498908,16.48840212498908,15.988343250006437,15.988343250006437,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
6,0,6,0,16.4960550830001,16.4960550830001,16.99310733299353,16.99310733299353,17.50448466700618,17.50448466700618,16.99310733299353,16.99310733299353,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
7,0,7,0,17.50448466700618,17.50448466700618,17.996604457992362,17.996604457992362,18.490273375005927,18.490273375005927,17.996604457992362,17.996604457992362,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
8,0,8,0,18.504346875008196,18.504346875008196,18.99864679199527,18.99864679199527,19.488258583005518,19.488258583005518,18.99864679199527,18.99864679199527,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
9,0,9,0,19.49769020799431,19.49769020799431,19.996119957999326,19.996119957999326,20.48749883301207,20.48749883301207,19.98723233299097,19.98723233299097,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
10,0,10,0,20.496239333006088,20.496239333006088,20.99508799999603,20.99508799999603,21.48781637501088,21.48781637501088,20.987494333006907,20.987494333006907,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
11,0,11,0,21.49611658300273,21.49611658300273,21.992596500000218,21.992596500000218,22.487214875000063,22.487214875000063,21.992596500000218,21.992596500000218,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
12,0,12,0,22.49527912499616,22.49527912499616,22.996702292002738,22.996702292002738,23.487584124988643,23.487584124988643,22.987152916990453,22.987152916990453,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
13,0,13,0,23.496097249997547,23.496097249997547,23.9951355420053,23.9951355420053,24.488414541992825,24.488414541992825,23.987176833004924,23.987176833004924,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
14,0,14,0,24.49598491701181,24.49598491701181,24.994618208002066,24.994618208002066,25.487709208013257,25.487709208013257,24.98710816699895,24.98710816699895,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
15,0,15,0,25.495545792015037,25.495545792015037,25.996690250001848,25.996690250001848,26.49864470801549,26.49864470801549,25.98788854200393,25.98788854200393,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
16,0,16,0,26.49864470801549,26.49864470801549,26.99713137501385,26.99713137501385,27.48723616701318,27.48723616701318,26.99713137501385,26.99713137501385,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
17,0,17,0,27.495842583011836,27.495842583011836,27.99577199999476,27.99577199999476,28.48753908299841,28.48753908299841,27.987515167013044,27.987515167013044,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
18,0,18,0,28.49708600001759,28.49708600001759,28.99684750000597,28.99684750000597,29.488377917004982,29.488377917004982,28.98855700000422,28.98855700000422,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
19,0,19,0,29.49723254199489,29.49723254199489,29.995974416990066,29.995974416990066,30.487460417003604,30.487460417003604,29.986875167000107,29.986875167000107,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
20,0,20,0,30.4962272499979,30.4962272499979,30.995322375005344,30.995322375005344,31.486836083000526,31.486836083000526,30.986779375001788,30.986779375001788,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
21,0,21,0,31.495483542006696,31.495483542006696,31.996233500016388,31.996233500016388,32.48753154199221,32.48753154199221,31.98734137500287,31.98734137500287,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
22,0,22,0,32.4965440829983,32.4965440829983,32.99687408300815,32.99687408300815,33.49959570801002,33.49959570801002,32.98747637501219,32.98747637501219,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
23,0,23,0,33.49959570801002,33.49959570801002,33.99880575001589,33.99880575001589,34.48953429199173,34.48953429199173,33.99880575001589,33.99880575001589,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
24,0,24,0,34.504266750009265,34.504266750009265,34.99816774998908,34.99816774998908,35.496009624999715,35.496009624999715,34.99816774998908,34.99816774998908,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
25,0,25,0,35.496009624999715,35.496009624999715,35.997850082989316,35.997850082989316,36.49749316700036,36.49749316700036,35.997850082989316,35.997850082989316,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
26,0,26,0,36.49749316700036,36.49749316700036,36.99583662499208,36.99583662499208,37.48735174999456,37.48735174999456,36.98729587500566,36.98729587500566,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
27,0,27,0,37.49607399999513,37.49607399999513,37.99630625001737,37.99630625001737,38.48752737499308,38.48752737499308,37.98727358301403,37.98727358301403,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
28,0,28,0,38.495788458007155,38.495788458007155,38.995867999998154,38.995867999998154,39.50432491701213,39.50432491701213,38.987290457997005,38.987290457997005,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
29,0,29,0,39.5212897080055,39.5212897080055,40.01444299999275,40.01444299999275,40.50701216701418,40.50701216701418,,,543658,001,2023-02-26_10h26.49.181,simple VEP,2022.2.4,None,
