trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,fixation.started,image.stopped,fixation.stopped,image_2.started,fixation_2.started,image_2.stopped,fixation_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,13.016972541998257,13.016972541998257,13.20044712500021,13.20044712500021,13.20044712500021,13.20044712500021,13.35858804199961,13.35858804199961,637905,001,2023-03-18_09h09.39.701,simple VEP,2022.2.4,None,
1,0,1,0,13.35858804199961,13.35858804199961,13.525953500000469,13.525953500000469,13.525953500000469,13.525953500000469,13.689553042000625,13.689553042000625,637905,001,2023-03-18_09h09.39.701,simple VEP,2022.2.4,None,
2,0,2,0,13.689553042000625,13.689553042000625,13.852632458001608,13.852632458001608,13.852632458001608,13.852632458001608,14.016485500000272,14.016485500000272,637905,001,2023-03-18_09h09.39.701,simple VEP,2022.2.4,None,
3,0,3,0,14.016485500000272,14.016485500000272,14.194237499999872,14.194237499999872,14.194237499999872,14.194237499999872,14.359428250001656,14.359428250001656,637905,001,2023-03-18_09h09.39.701,simple VEP,2022.2.4,None,
4,0,4,0,14.359428250001656,14.359428250001656,14.518945416999486,14.518945416999486,14.518945416999486,14.518945416999486,14.678300083000067,14.678300083000067,637905,001,2023-03-18_09h09.39.701,simple VEP,2022.2.4,None,
5,0,5,0,14.678300083000067,14.678300083000067,14.844866750001529,14.844866750001529,14.844866750001529,14.844866750001529,15.007078082999215,15.007078082999215,637905,001,2023-03-18_09h09.39.701,simple VEP,2022.2.4,None,
6,0,6,0,15.007078082999215,15.007078082999215,15.178117708001082,15.178117708001082,15.178117708001082,15.178117708001082,15.343622749998758,15.343622749998758,637905,001,2023-03-18_09h09.39.701,simple VEP,2022.2.4,None,
7,0,7,0,15.343622749998758,15.343622749998758,15.506490583000414,15.506490583000414,15.506490583000414,15.506490583000414,15.677422207998461,15.677422207998461,637905,001,2023-03-18_09h09.39.701,simple VEP,2022.2.4,None,
8,0,8,0,15.677422207998461,15.677422207998461,15.842948207999143,15.842948207999143,15.842948207999143,15.842948207999143,16.007622332999745,16.007622332999745,637905,001,2023-03-18_09h09.39.701,simple VEP,2022.2.4,None,
9,0,9,0,16.007622332999745,16.007622332999745,16.17655166699842,16.17655166699842,16.17655166699842,16.17655166699842,16.337632250000752,16.337632250000752,637905,001,2023-03-18_09h09.39.701,simple VEP,2022.2.4,None,
