color,trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimulus.started,blank.started,grating.started,blank.stopped,grating.stopped,stimulus.stopped,participant,session,date,expName,psychopyVersion,frameRate,
white,1,0,0,0,1,11.521189124992816,11.597334207996028,11.597334207996028,,,,908838,001,2023-02-23_16h14.10.115,simple VEP,2022.2.4,None,
gray,2,0,1,1,5,12.586667540992494,12.836290291001205,12.836290291001205,,,,908838,001,2023-02-23_16h14.10.115,simple VEP,2022.2.4,None,
gray,2,0,2,2,4,13.836880582995946,14.08569541599718,14.08569541599718,15.078747749998001,15.078747749998001,,908838,001,2023-02-23_16h14.10.115,simple VEP,2022.2.4,None,
white,1,0,3,3,3,15.078747749998001,15.319895749998977,15.319895749998977,16.32152374999714,16.32152374999714,15.319895749998977,908838,001,2023-02-23_16h14.10.115,simple VEP,2022.2.4,None,
gray,2,0,4,4,7,16.32152374999714,16.5692750409944,16.5692750409944,17.56189704099961,17.56189704099961,16.5692750409944,908838,001,2023-02-23_16h14.10.115,simple VEP,2022.2.4,None,
white,1,0,5,5,2,17.567965249996632,17.819479625002714,17.819479625002714,18.811999875004403,18.811999875004403,17.812499124993337,908838,001,2023-02-23_16h14.10.115,simple VEP,2022.2.4,None,
gray,2,0,6,6,6,18.818059625002206,19.07037083299656,19.07037083299656,20.071177582998644,20.071177582998644,19.06256958299491,908838,001,2023-02-23_16h14.10.115,simple VEP,2022.2.4,None,
white,1,0,7,7,0,20.071177582998644,20.319452416006243,20.319452416006243,21.312068832994555,21.312068832994555,20.319452416006243,908838,001,2023-02-23_16h14.10.115,simple VEP,2022.2.4,None,
gray,2,1,0,8,4,21.318263833003584,21.568581832994823,21.568581832994823,22.561951875002705,22.561951875002705,21.562097540998366,908838,001,2023-02-23_16h14.10.115,simple VEP,2022.2.4,None,
white,1,1,1,9,1,22.567496874995413,22.819008082995424,22.819008082995424,23.811935791003634,23.811935791003634,22.812527540998417,908838,001,2023-02-23_16h14.10.115,simple VEP,2022.2.4,None,
white,1,1,2,10,2,23.81764095800463,24.070362790997024,24.070362790997024,25.06281120800122,25.06281120800122,24.06275679099781,908838,001,2023-02-23_16h14.10.115,simple VEP,2022.2.4,None,
gray,2,1,3,11,7,25.069142041000305,25.32026991600287,25.32026991600287,26.321000625001034,26.321000625001034,25.312764375004917,908838,001,2023-02-23_16h14.10.115,simple VEP,2022.2.4,None,
white,1,1,4,12,0,26.321000625001034,26.569896083005005,26.569896083005005,27.57045229099458,27.57045229099458,26.569896083005005,908838,001,2023-02-23_16h14.10.115,simple VEP,2022.2.4,None,
gray,2,1,5,13,5,27.57045229099458,27.820242290996248,27.820242290996248,28.82104820800305,28.82104820800305,27.820242290996248,908838,001,2023-02-23_16h14.10.115,simple VEP,2022.2.4,None,
gray,2,1,6,14,6,28.82104820800305,29.070408375002444,29.070408375002444,,,29.070408375002444,908838,001,2023-02-23_16h14.10.115,simple VEP,2022.2.4,None,
