trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,grating1.started,grating1_2.started,grating1_2.stopped,grating1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,13.2394430419954,13.737122791993897,14.244545416993788,,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
1,0,1,0,14.244545416993788,14.73543158400571,15.227954000001773,,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
2,0,2,0,15.227954000001773,15.719158249994507,16.210872291994747,15.719158249994507,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
3,0,3,0,16.21716829200159,16.71892200000002,17.21091541700298,16.711394959012978,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
4,0,4,0,17.21809987499728,17.719145375012886,18.211411041993415,17.711566791986115,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
5,0,5,0,18.21763345898944,18.719348124985117,19.21153095900081,18.71155020900187,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
6,0,6,0,19.2193224169896,19.71969349999563,20.211574291985016,19.711617833992932,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
7,0,7,0,20.21774220900261,20.719268666987773,21.21186325000599,20.711615209002048,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
8,0,8,0,21.219630167004652,21.719647708989214,22.21167650001007,21.719647708989214,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
9,0,9,0,22.21939487499185,22.71743483399041,23.211785749997944,22.710998333990574,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
10,0,10,0,23.21937508400879,23.719412125006784,24.219750999996904,23.711628291988745,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
11,0,11,0,24.219750999996904,24.719196166988695,25.21170750001329,24.71156600001268,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
12,0,12,0,25.21968720899895,25.719012124987785,26.21152766700834,25.71105783400708,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
13,0,13,0,26.21919779200107,26.719154833990615,27.211040124995634,26.71154870899045,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
14,0,14,0,27.217506124987267,27.719787834008457,28.211094666999998,27.71182412499911,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
15,0,15,0,28.21753016699222,28.71938249998493,29.211264334007865,28.711616541986587,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
16,0,16,0,29.218164999998407,29.719157999992603,30.211101916996995,29.711612584011164,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
17,0,17,0,30.218665083986707,30.717470250005135,31.211705333989812,30.71118108398514,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
18,0,18,0,31.219930791994557,31.719388917001197,32.21158166701207,31.71162408401142,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
19,0,19,0,32.219273750000866,32.71922779199667,33.21162212500349,32.711456124990946,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
20,0,20,0,33.218892000004416,33.71914395899512,34.21171912498539,33.71172816699254,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
21,0,21,0,34.21915254200576,34.71937595898635,35.2111299590033,34.711676999984775,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
22,0,22,0,35.217364417010685,35.7188721249986,36.211537708994,35.71157562499866,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
23,0,23,0,36.2191315839882,36.71921929199016,37.21175904199481,36.711617499997374,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
24,0,24,0,37.21943191700848,37.71916649999912,38.211562749987934,37.71138179200352,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
25,0,25,0,38.219172874989454,38.717232541996054,39.211646084004315,38.71109137500753,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
26,0,26,0,39.219273333990714,39.71896937501151,40.211724541994045,39.711577959009446,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
27,0,27,0,40.21945487501216,40.71925416699378,41.21146695900825,40.71925416699378,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
28,0,28,0,41.21768649999285,41.71997912498773,42.220228666992625,41.71183483398636,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
29,0,29,0,42.220228666992625,42.720385666994844,43.217858583986526,42.720385666994844,977164,001,2023-02-26_10h19.56.083,simple VEP,2022.2.4,None,
